artist_names,track_name,peak_rank,weeks_on_chart
C. Tangana,Demasiadas Mujeres,127,3
Nirvana,Smells Like Teen Spirit,109,63
Sia,Unstoppable,112,6
Taylor Swift,Blank Space,130,20
"Luude, Colin Hay",Down Under (feat. Colin Hay),72,10
The Neighbourhood,Daddy Issues,99,76
Bruno Mars,Locked out of Heaven,111,12
"Eminem, Nate Dogg",'Till I Collapse,81,39
The Weeknd,Sacrifice,3,11
"Maroon 5, Wiz Khalifa",Payphone,136,14
"J Balvin, Bad Bunny",LA CANCIÓN,17,64
WILLOW,Wait a Minute!,138,1
"Kevin Gates, Juicy J",Thinking with My Dick (feat. Juicy J),128,2
Ed Sheeran,Shape of You,1,269
Avicii,The Nights,44,54
"Coolio, L.V.",Gangsta's Paradise,116,22
Jessica Darrow,"Surface Pressure - From ""Encanto""/Soundtrack Version",23,12
Vance Joy,Riptide,122,64
Doja Cat,Get Into It (Yuh),36,34
"NEIKED, Mae Muller, Polo G",Better Days (NEIKED x Mae Muller x Polo G),32,23
Queen,Bohemian Rhapsody - Remastered 2011,11,182
"Sean Paul, Dua Lipa",No Lie,80,34
Zé Felipe,Malvada,58,7
"Tiësto, KAROL G",Don't Be Shy,38,32
Ed Sheeran,Perfect,4,262
ROSALÍA,CHICKEN TERIYAKI,152,1
"Drake, WizKid, Kyla",One Dance,12,120
"Rvssian, Rauw Alejandro, Chris Brown",Nostálgico,40,28
"24kGoldn, iann dior",Mood (feat. iann dior),1,85
The Killers,Mr. Brightside,98,87
"4*TOWN (From Disney and Pixar’s Turning Red), Jordan Fisher, Finneas O'Connell, Topher Ngo, Grayson Villanueva, Josh Levi",Nobody Like U,157,1
Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),1,19
Post Malone,Circles,1,134
Bad Bunny,La Zona,60,7
Hozier,Take Me To Church,108,75
Conan Gray,Heather,12,87
50 Cent,In Da Club,77,6
"Hugo & Guilherme, Marília Mendonça",Mal Feito - Ao Vivo,72,10
Pharrell Williams,Just a Cloud Away,165,1
JVKE,this is what falling in love feels like,142,3
Tones And I,Dance Monkey,1,140
Olivia Rodrigo,happier,12,44
XXXTENTACION,Hope,42,35
"Dímelo Flow, Dalex, Sech, Justin Quiles, Arcangel, De La Ghetto, Lenny Tavárez",Se Le Ve,110,12
