artist_names,track_name,peak_rank,weeks_on_chart
"Sofía Reyes, Jason Derulo, De La Ghetto","1, 2, 3 (feat. Jason Derulo & De La Ghetto)",31,36
"thasup, Lazza, Sfera Ebbasta",s!r! (feat. Lazza & Sfera Ebbasta),185,1
"TINI, Becky G, Anitta",La Loto,157,2
Nessa Barrett,die first,194,1
Jung Kook,Stay Alive (Prod. SUGA of BTS),10,1
"Ed Sheeran, Taylor Swift",The Joker And The Queen (feat. Taylor Swift),20,1
"Fivio Foreign, Kanye West, Alicia Keys",City of Gods,57,1
"Dr. Dre, Snoop Dogg",The Next Episode,86,1
"Nicki Minaj, Lil Baby",Bussin,122,1
Kendrick Lamar,HUMBLE.,1,96
Labrinth,Forever,185,1
Future,Worst Day,192,1
"Tyler, The Creator",NEW MAGIC WAND,54,3
Bad Bunny,Si Estuviésemos Juntos,197,1
Anitta,Boys Don't Cry,107,1
XXXTENTACION,vice city,181,1
SiM,The Rumbling (TV Size),192,1
Taylor Swift,Wildest Dreams (Taylor's Version),29,11
Morgan Wallen,Thought You Should Know,123,1
"Future, Drake",I'M ON ONE (feat. Drake),48,2
A$AP Rocky,D.M.B.,159,1
Jack Harlow,I'd Do Anything To Make You Smile,187,1
Future,712PM,61,1
"Future, Kanye West",KEEP IT BURNIN (feat. Kanye West),85,1
Future,I'M DAT N****,86,1
Future,LOVE YOU BETTER,131,1
"Future, Gunna, Young Thug",FOR A NUT (feat. Gunna & Young Thug),139,1
Future,MASSAGING ME,180,1
Future,GOLD STACKS,190,1
"Russ, Ed Sheeran",Are You Entertained (feat. Ed Sheeran),60,1
"Mac Miller, The Temper Trap",Love Lost,175,1
Marília Mendonça,Te Amo Demais,177,1
"Cardi B, Kanye West, Lil Durk",Hot Shit (feat. Ye & Lil Durk),54,2
Brent Faiyaz,LOOSE CHANGE,178,1
Brent Faiyaz,ALL MINE,188,1
"Fivio Foreign, The Kid LAROI",Paris to Tokyo,198,1
"Tiësto, Charli XCX",Hot In It,150,1
Imagine Dragons,Sharks,111,2
Post Malone,Wrapped Around Your Finger,69,1
Post Malone,Lemon Tree,71,1
Post Malone,Reputation,74,1
"Post Malone, The Kid LAROI",Wasting Angels (with The Kid LAROI),75,1
"Post Malone, Gunna",I Cannot Be (A Sadder Song) (with Gunna),86,1
Post Malone,Insane,97,1
"Post Malone, Fleet Foxes",Love/Hate Letter To Alcohol (with Fleet Foxes),115,1
Polo G,Distraction,121,1
Post Malone,When I’m Alone,177,1
Post Malone,Euthanasia,191,1
Nicki Minaj,Super Freaky Girl,16,1
Luar La L,Caile,75,1
"Rauw Alejandro, Lyanno, Brray",LOKERA,95,1
Ghost,Mary On A Cross,135,1
NewJeans,Attention,137,1
Kordhell,Murder In My Mind,163,1
NewJeans,Hype Boy,171,1
"La Adictiva Banda San José de Mesillas, Luis R Conriquez",JGL,173,1
Beach Weather,"Sex, Drugs, Etc.",175,1
"Black Eyed Peas, Shakira, David Guetta",DON'T YOU WORRY,189,1
"Omah Lay, Justin Bieber",attention,104,1
"Machine Gun Kelly, Lil Wayne",ay! (feat. Lil Wayne),114,1
"Dominic Fike, Zendaya","Elliot's Song - From ""Euphoria"" An HBO Original Series",130,1
"Miksu / Macloud, t-low",Sehnsucht,200,1
Drake,Falling Back,10,1
Drake,Texts Go Green,25,1
Drake,A Keeper,28,1
Drake,Calling My Name,30,1
Drake,Currents,38,1
Drake,Flight's Booked,49,1
Drake,Intro,61,1
Drake,Overdrive,68,1
Drake,Tie That Binds,87,1
Drake,Down Hill,89,1
Drake,Liability,96,1
Luke Combs,The Kind of Love We Make,194,1
MC Rogerinho,Botadinha Saliente,105,1
"Dj Guuga, Wesley Safadão, Zé Felipe",Depende,129,1
Jorge & Mateus,Molhando o Volante,186,2
"The Chainsmokers, Halsey",Closer,2,179
BTS,Permission to Dance,5,26
The Weeknd,Dawn FM,27,1
"The Weeknd, Lil Wayne",I Heard You’re Married (feat. Lil Wayne),28,1
The Weeknd,Starry Eyes,35,1
The Weeknd,A Tale By Quincy,54,1
The Weeknd,Don’t Break My Heart,55,1
The Weeknd,Every Angel is Terrifying,62,1
The Weeknd,Phantom Regret by Jim,92,1
"Gunna, 21 Savage",thought i was playing,94,1
David Kushner,Miserable Man,135,1
"Gunna, Lil Baby",25k jacket (feat. Lil Baby),141,1
Gunna,alotta cake,146,1
"Gunna, Young Thug",mop (feat. Young Thug),160,1
The Weeknd,Take My Breath - Single Version,7,21
"TINI, L-Gante",Bar,99,9
SALES,Pope Is a Rockstar,108,5
Morgan Wallen,Don't Think Jesus,96,1
"Lil Nas X, YoungBoy Never Broke Again",Late To Da Party (F*CK BET) (feat. YoungBoy Never Broke Again),86,1
"Eminem, Snoop Dogg",From The D 2 The LBC (with Snoop Dogg),135,1
Taylor Swift,Carolina - From The Motion Picture “Where The Crawdads Sing”,152,1
